"game_date","away_team","home_team","status","winner","favored_team","away_win_probability","home_win_probability","game_id","away_score","home_score","away_record","home_record","away_win_pct","home_win_pct","away_pt_diff_pg","home_pt_diff_pg","away_ypg_off","home_ypg_off","away_ypg_def","home_ypg_def","away_to_margin","home_to_margin","game_time"
"2026-01-11","Los Angeles Chargers","New England Patriots","Final","New England Patriots","New England Patriots",0.1654,0.8346,"401772978","3","16","11-6","14-3",0.647,0.824,1.6,10,340,340,340,340,0,0,"01:15 AM ET"
"2026-01-12","Houston Texans","Pittsburgh Steelers","Final","Houston Texans","Houston Texans",0.5815,0.4185,"401772976","30","6","12-5","10-7",0.706,0.588,6.4,0.6,340,340,340,340,0,0,"01:15 AM ET"
"2026-01-17","Buffalo Bills","Denver Broncos","Final","Denver Broncos","Denver Broncos",0.4352,0.5648,"401772982","30","33","12-5","14-3",0.706,0.824,6.8,5.3,340,340,340,340,0,0,"09:30 PM ET"
"2026-01-17","San Francisco 49ers","Seattle Seahawks","Final","Seattle Seahawks","Seattle Seahawks",0.1873,0.8127,"401772984","6","41","12-5","14-3",0.706,0.824,3.9,11.2,340,340,340,340,0,0,"01:00 AM ET"
"2026-01-18","Houston Texans","New England Patriots","Final","New England Patriots","New England Patriots",0.2768,0.7232,"401772983","16","28","12-5","14-3",0.706,0.824,6.4,10,340,340,340,340,0,0,"08:00 PM ET"
"2026-01-18","Los Angeles Rams","Chicago Bears","Final","Los Angeles Rams","Los Angeles Rams",0.6711,0.3289,"401772985","20","17","12-5","11-6",0.706,0.647,10.1,1.5,340,340,340,340,0,0,"11:30 PM ET"
"2026-01-25","New England Patriots","Denver Broncos","Final","New England Patriots","New England Patriots",0.5444,0.4556,"401772986","10","7","14-3","14-3",0.824,0.824,10,5.3,340,340,340,340,0,0,"08:00 PM ET"
"2026-01-25","Los Angeles Rams","Seattle Seahawks","Final","Seattle Seahawks","Seattle Seahawks",0.3504,0.6496,"401772987","27","31","12-5","14-3",0.706,0.824,10.1,11.2,340,340,340,340,0,0,"11:30 PM ET"
"2026-02-03","NFC","AFC","Final","NFC","AFC",0.4013,0.5987,"401831718","66","52","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01:00 AM ET"
"2026-02-08","Seattle Seahawks","New England Patriots","Final","Seattle Seahawks","New England Patriots",0.4251,0.5749,"401772988","29","13","14-3","14-3",0.824,0.824,11.2,10,340,340,340,340,0,0,"11:30 PM ET"
