"game_date","away_team","home_team","status","winner","favored_team","away_win_probability","home_win_probability","game_id","away_score","home_score","away_record","home_record","away_win_pct","home_win_pct","away_ppg","home_ppg","away_opp_ppg","home_opp_ppg","away_net_rtg","home_net_rtg","away_pace","home_pace","rest_advantage","game_time"
"2026-04-26","Cleveland Cavaliers","Toronto Raptors","Final","Toronto Raptors","Cleveland Cavaliers",0.5126,0.4874,"401869377","89","93","52-30","46-36",0.634,0.561,119.5,114.6,115.4,111.8,4.1,2.8,100,100,0,"05:00 PM ET"
"2026-04-26","San Antonio Spurs","Portland Trail Blazers","Final","San Antonio Spurs","San Antonio Spurs",0.672,0.328,"401869385","114","93","62-20","42-40",0.756,0.512,119.8,115.5,111.5,115.8,8.3,-0.3,100,100,0,"07:30 PM ET"
"2026-04-26","Boston Celtics","Philadelphia 76ers","Final","Boston Celtics","Boston Celtics",0.749,0.251,"401869406","128","96","56-26","45-37",0.683,0.549,114.9,115.9,107.2,116.1,7.7,-0.2,100,100,0,"11:00 PM ET"
"2026-04-26","Los Angeles Lakers","Houston Rockets","Final","Houston Rockets","Houston Rockets",0.2243,0.7757,"401869405","96","115","53-29","52-30",0.646,0.634,116.3,115.2,114.6,110,1.8,5.2,100,100,0,"01:30 AM ET"
"2026-04-27","Detroit Pistons","Orlando Magic","Final","Orlando Magic","Detroit Pistons",0.688,0.312,"401869415","88","94","60-22","45-37",0.732,0.549,117.8,115.7,109.6,115.1,8.2,0.6,100,100,0,"12:00 AM ET"
"2026-04-27","Oklahoma City Thunder","Phoenix Suns","Final","Oklahoma City Thunder","Oklahoma City Thunder",0.7965,0.2035,"401869373","131","122","64-18","45-37",0.78,0.549,119,112.6,107.9,111.1,11.1,1.5,100,100,0,"01:30 AM ET"
"2026-04-27","Minnesota Timberwolves","Denver Nuggets","Final","Denver Nuggets","Denver Nuggets",0.3865,0.6135,"401869401","113","125","49-33","54-28",0.598,0.659,118,122.1,114.6,116.9,3.4,5.2,100,100,0,"02:30 AM ET"
"2026-04-28","Philadelphia 76ers","Boston Celtics","Final","Philadelphia 76ers","Boston Celtics",0.2152,0.7848,"401869408","113","97","45-37","56-26",0.549,0.683,115.9,114.9,116.1,107.2,-0.2,7.7,100,100,0,"11:00 PM ET"
"2026-04-28","Atlanta Hawks","New York Knicks","Final","New York Knicks","New York Knicks",0.4092,0.5908,"401869392","97","126","46-36","53-29",0.561,0.646,118.5,116.5,116,110.1,2.4,6.3,100,100,0,"12:00 AM ET"
"2026-04-28","Portland Trail Blazers","San Antonio Spurs","Final","San Antonio Spurs","San Antonio Spurs",0.2855,0.7145,"401869386","95","114","42-40","62-20",0.512,0.756,115.5,119.8,115.8,111.5,-0.3,8.3,100,100,0,"01:30 AM ET"
"2026-04-29","Orlando Magic","Detroit Pistons","Final","Detroit Pistons","Detroit Pistons",0.2707,0.7293,"401869416","109","116","45-37","60-22",0.549,0.732,115.7,117.8,115.1,109.6,0.6,8.2,100,100,0,"11:00 PM ET"
"2026-04-29","Toronto Raptors","Cleveland Cavaliers","Final","Cleveland Cavaliers","Cleveland Cavaliers",0.4376,0.5624,"401869380","120","125","46-36","52-30",0.561,0.634,114.6,119.5,111.8,115.4,2.8,4.1,100,100,0,"11:30 PM ET"
"2026-04-29","Houston Rockets","Los Angeles Lakers","Final","Houston Rockets","Houston Rockets",0.7389,0.2611,"401869407","99","93","52-30","53-29",0.634,0.646,115.2,116.3,110,114.6,5.2,1.8,100,100,0,"02:00 AM ET"
